subfolder,filename,characters_full,characters_partial,faces_position_fine_full,faces_position_fine_partial,faces_position_agg_full,faces_position_agg_partial,social_class_fine_full,social_class_fine_partial,social_class_agg_full,social_class_agg_partial,toy_full,toy_partial,scene_setting_exact,emotional_intensity_exact,emotional_intensity_tol1
1891_Les_joujoux_parlants,pg_77_img_1.jpg,1.0,0.8333333333333333,0.5833333333333333,0.5,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,1.0,0.5,0.5
1891_Les_joujoux_parlants,pg_88_img_1.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0
1891_Les_joujoux_parlants,pg_133_img_1.jpg,0.3666666666666667,1.0,0.5833333333333334,0.75,0.5833333333333334,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1891_Les_joujoux_parlants,pg_101_img_1.jpg,1.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,1.0,1.0,0.5,0.5,1.0
1891_Les_joujoux_parlants,pg_79_img_1.jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1891_Les_joujoux_parlants,pg_41_img_1.jpg,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
1891_Les_joujoux_parlants,pg_71_img_1.jpg,0.625,0.8333333333333333,0.4732142857142857,0.7,0.5357142857142857,0.8,0.7142857142857143,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0.0,1.0
1891_Les_joujoux_parlants,pg_111_img_1.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1891_Les_joujoux_parlants,pg_25_img_1.jpg,0.7,1.0,0.6,0.75,0.7,1.0,0.7,1.0,0.7,1.0,1.0,1.0,0.5,0.5,0.5
1891_Les_joujoux_parlants,pg_107_img_1.jpg,0.5833333333333334,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
1891_Les_joujoux_parlants,pg_15_img_1.jpg,0.5,0.5,0.75,0.75,0.75,0.75,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5
1891_Les_joujoux_parlants,pg_143_img_1.jpg,1.0,1.0,0.25,0.25,0.5,0.5,0.0,0.0,1.0,1.0,0.5208333333333333,0.8333333333333333,1.0,0.0,0.5
1891_Les_joujoux_parlants,pg_106_img_1.jpg,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
