filename,year,topic,top_words
1874_Fleuriot-Zenaide_Armelle-Trahec.txt,1874,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1874_Stolz-Madame-de_Les-Poches-de-mon-oncle.txt,1874,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine.txt,1875,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille.txt,1875,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1876_Gouraud-Julie_Les-Quatre-pièces-d'or.txt,1876,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1876_Gouraud-Julie_Les-Filles-du-professeur.txt,1876,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1876_Chazel-Prosper_Le-Chalet-des-sapins.txt,1876,4,"bohémien, crique, bouton, marquis, armée, chemise, buisson, bûcheron, caillou, bande, coupe, guerrier, pantalon, culotte, troupe, classe, sale, trique, cul, forestier"
1877_Fleuriot-Zenaide_Un-enfant-gate.txt,1877,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1878_Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde.txt,1878,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1878_Girardin-Jules_Ouida-Pascarel-roman-imite-de-l-anglais.txt,1878,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
