title,text_id,char_id,char_name,type,Gender
1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille.book --- julie,1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille,1,julie,0.0,1.0
1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille.book --- marguerite,1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille,2,marguerite,1.0,1.0
1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille.book --- jacques,1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille,3,jacques,0.0,0.0
1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille.book --- édouard,1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille,4,édouard,1.0,1.0
1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien.book --- jean,1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien,0,jean,1.0,0.0
1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien.book --- sir william,1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien,1,sir william,0.0,0.0
1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien.book --- le petit parisien,1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien,2,le petit parisien,1.0,0.0
1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien.book --- méloir,1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien,3,méloir,1.0,0.0
1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien.book --- jacob risler,1885_Amero-Constant_Le-tour-de-France-d-un-petit-Parisien,4,jacob risler,0.0,0.0
1880_Fleuriot-Zenaide_Bonasse.book --- eugénie,1880_Fleuriot-Zenaide_Bonasse,0,eugénie,1.0,1.0
1880_Fleuriot-Zenaide_Bonasse.book --- jules,1880_Fleuriot-Zenaide_Bonasse,1,jules,0.0,0.0
1880_Fleuriot-Zenaide_Bonasse.book --- ange,1880_Fleuriot-Zenaide_Bonasse,2,ange,1.0,0.0
1880_Fleuriot-Zenaide_Bonasse.book --- juliette,1880_Fleuriot-Zenaide_Bonasse,3,juliette,1.0,1.0
1880_Fleuriot-Zenaide_Bonasse.book --- tante thérèse,1880_Fleuriot-Zenaide_Bonasse,4,tante thérèse,0.0,1.0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- clotilde,1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse,0,clotilde,0.0,0.0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- valentine,1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse,1,valentine,1.0,1.0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- bérangère,1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse,2,bérangère,1.0,1.0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- lionel,1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse,3,lionel,1.0,0.0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- léon,1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse,4,léon,0.0,0.0
1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune.book --- l' oncle bénic,1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune,0,l' oncle bénic,0.0,0.0
1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune.book --- du hollandais - volant,1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune,1,du hollandais - volant,4.0,0.0
1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune.book --- virmoutiers,1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune,2,virmoutiers,0.0,0.0
1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune.book --- mon jeune louis-marie bénic,1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune,3,mon jeune louis-marie bénic,1.0,0.0
1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune.book --- bénic,1926_Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune,4,bénic,0.0,0.0
1882_Gouraud-Julie_Chez-grand-mere.book --- françoise,1882_Gouraud-Julie_Chez-grand-mere,0,françoise,1.0,1.0
1882_Gouraud-Julie_Chez-grand-mere.book --- mme decosne,1882_Gouraud-Julie_Chez-grand-mere,1,mme decosne,0.0,1.0
1882_Gouraud-Julie_Chez-grand-mere.book --- grand'mère,1882_Gouraud-Julie_Chez-grand-mere,2,grand'mère,0.0,1.0
1882_Gouraud-Julie_Chez-grand-mere.book --- louise,1882_Gouraud-Julie_Chez-grand-mere,3,louise,1.0,1.0
1882_Gouraud-Julie_Chez-grand-mere.book --- vincent et pierre,1882_Gouraud-Julie_Chez-grand-mere,4,vincent et pierre,5.0,0.0
1893_Malot-Hector_En-Famille.book --- perrine,1893_Malot-Hector_En-Famille,0,perrine,1.0,1.0
1893_Malot-Hector_En-Famille.book --- m. vulfran,1893_Malot-Hector_En-Famille,1,m. vulfran,0.0,0.0
1893_Malot-Hector_En-Famille.book --- rosalie,1893_Malot-Hector_En-Famille,2,rosalie,1.0,1.0
1893_Malot-Hector_En-Famille.book --- aurélie,1893_Malot-Hector_En-Famille,3,aurélie,1.0,1.0
1893_Malot-Hector_En-Famille.book --- talouel,1893_Malot-Hector_En-Famille,4,talouel,0.0,0.0
1881_Colomb-Josephine_Feu-de-paille.book --- lucile,1881_Colomb-Josephine_Feu-de-paille,0,lucile,1.0,1.0
1881_Colomb-Josephine_Feu-de-paille.book --- jacques,1881_Colomb-Josephine_Feu-de-paille,1,jacques,1.0,0.0
1881_Colomb-Josephine_Feu-de-paille.book --- valentine,1881_Colomb-Josephine_Feu-de-paille,2,valentine,1.0,1.0
1881_Colomb-Josephine_Feu-de-paille.book --- mme davery,1881_Colomb-Josephine_Feu-de-paille,3,mme davery,0.0,1.0
1881_Colomb-Josephine_Feu-de-paille.book --- frédéric,1881_Colomb-Josephine_Feu-de-paille,4,frédéric,1.0,0.0
1873_Gouraud-Julie_Petite-et-grande.book --- agnès,1873_Gouraud-Julie_Petite-et-grande,0,agnès,1.0,1.0
1873_Gouraud-Julie_Petite-et-grande.book --- m. saint-florent,1873_Gouraud-Julie_Petite-et-grande,1,m. saint-florent,0.0,0.0
1873_Gouraud-Julie_Petite-et-grande.book --- mme de flines,1873_Gouraud-Julie_Petite-et-grande,2,mme de flines,0.0,1.0
1873_Gouraud-Julie_Petite-et-grande.book --- mme esther,1873_Gouraud-Julie_Petite-et-grande,3,mme esther,0.0,1.0
1873_Gouraud-Julie_Petite-et-grande.book --- christian,1873_Gouraud-Julie_Petite-et-grande,4,christian,1.0,0.0
1881_Fleuriot-Zenaide_Alberte.book --- alberte,1881_Fleuriot-Zenaide_Alberte,0,alberte,1.0,1.0
1881_Fleuriot-Zenaide_Alberte.book --- david,1881_Fleuriot-Zenaide_Alberte,1,david,0.0,0.0
1881_Fleuriot-Zenaide_Alberte.book --- luna,1881_Fleuriot-Zenaide_Alberte,2,luna,0.0,1.0
1881_Fleuriot-Zenaide_Alberte.book --- madame de valroux,1881_Fleuriot-Zenaide_Alberte,3,madame de valroux,0.0,1.0
1881_Fleuriot-Zenaide_Alberte.book --- madeleine,1881_Fleuriot-Zenaide_Alberte,4,madeleine,0.0,1.0
1895_Mael-Pierre_Les-Derniers-Hommes-rouges.book --- wagha - na,1895_Mael-Pierre_Les-Derniers-Hommes-rouges,0,wagha - na,0.0,0.0
1895_Mael-Pierre_Les-Derniers-Hommes-rouges.book --- madeleine,1895_Mael-Pierre_Les-Derniers-Hommes-rouges,1,madeleine,1.0,1.0
1895_Mael-Pierre_Les-Derniers-Hommes-rouges.book --- léopold,1895_Mael-Pierre_Les-Derniers-Hommes-rouges,2,léopold,0.0,0.0
1895_Mael-Pierre_Les-Derniers-Hommes-rouges.book --- georges,1895_Mael-Pierre_Les-Derniers-Hommes-rouges,3,georges,0.0,0.0
